OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
545,2012/06/15,93-4,0.27,0.29,0.25
546,2012/06/17,93-5,0.45,0.42,0.35
547,2012/06/23,93-7,0.27,0.26,0.22
548,2012/06/25,93-8,0.26,0.24,0.21
549,2012/06/27,93-9,0.2,0.2,0.17
550,2012/06/29,93-10,0.27,0.24,0.21
551,2012/07/03,93-11,0.07,0.08,0.07
552,2012/07/05,93-12,0.13,0.14,0.12
553,2012/07/08,93-13,0.14,0.13,0.11
554,2012/07/10,93-14,0.08,0.09,0.07
555,2012/07/13,93-15,0.05,0.06,0.05
556,2012/07/14,93-16,0.13,0.13,0.11
557,2012/06/07,94-1,0.06,0.06,0.05
558,2012/06/12,94-3,0.26,0.28,0.22
559,2012/06/15,94-4,0.23,0.28,0.22
560,2012/06/17,94-5,0.33,0.31,0.24
561,2012/06/23,94-7,0.2,0.2,0.16
562,2012/06/25,94-8,0.2,0.2,0.16
563,2012/06/27,94-9,0.16,0.15,0.12
564,2012/06/29,94-10,0.17,0.18,0.14
565,2012/07/03,94-11,0.27,0.22,0.18
566,2012/07/05,94-12,0.16,0.18,0.14
567,2012/07/08,94-13,0.16,0.14,0.11
568,2012/07/10,94-14,0.18,0.18,0.14
569,2012/07/13,94-15,0.05,0.05,0.04
570,2012/07/14,94-16,0.05,0.06,0.04
571,2012/06/07,101-1,0.25,0.28,0.31
572,2012/06/09,101-2,0.31,0.35,0.39
573,2012/07/17,101-2,0.22,0.3,0.33
574,2012/06/12,101-3,0.41,0.47,0.51
575,2012/07/19,101-3,0.31,0.27,0.3
576,2012/06/15,101-4,0.36,0.36,0.4
577,2012/06/17,101-5,0.34,0.39,0.43
578,2012/06/22,101-6,0.36,0.37,0.41
579,2012/06/23,101-7,0.31,0.29,0.32
580,2012/06/25,101-8,0.19,0.18,0.2
581,2012/06/27,101-9,0.3,0.25,0.27
582,2012/07/03,101-11,0.19,0.19,0.21
583,2012/07/05,101-12,0.27,0.25,0.28
584,2012/07/08,101-13,0.14,0.14,0.15
585,2012/07/10,101-14,0.15,0.14,0.15
586,2012/07/13,101-15,0.14,0.15,0.17
587,2012/07/14,101-16,0.15,0.12,0.14
588,2012/06/07,102-1,0.34,0.37,0.39
589,2012/07/17,102-2,0.22,0.26,0.27
590,2012/06/12,102-3,0.75,0.7,0.75
591,2012/07/19,102-3,0.28,0.28,0.3
592,2012/06/15,102-4,0.5,0.48,0.51
593,2012/06/17,102-5,0.59,0.58,0.61
594,2012/06/22,102-6,0.53,0.5,0.53
595,2012/06/23,102-7,0.7,0.62,0.65
596,2012/06/25,102-8,0.34,0.32,0.34
597,2012/06/27,102-9,0.22,0.24,0.26
598,2012/06/29,102-10,0.21,0.22,0.23
599,2012/07/03,102-11,0.19,0.18,0.19
600,2012/07/05,102-12,0.28,0.34,0.36
601,2012/07/08,102-13,0.19,0.21,0.22
602,2012/07/10,102-14,0.18,0.16,0.17
603,2012/07/13,102-15,0.14,0.14,0.15
604,2012/07/14,102-16,0.22,0.22,0.23
605,2012/06/07,103-1,0.26,0.27,0.3
606,2012/07/17,103-2,0.29,0.34,0.37
607,2012/06/12,103-3,0.48,0.47,0.52
608,2012/07/19,103-3,0.3,0.32,0.35
609,2012/06/15,103-4,0.45,0.42,0.47
610,2012/06/17,103-5,0.64,0.63,0.69
611,2012/06/22,103-6,0.53,0.5,0.56
612,2012/06/23,103-7,0.59,0.49,0.54
613,2012/06/25,103-8,0.45,0.45,0.5
614,2012/06/27,103-9,0.4,0.35,0.39
615,2012/06/29,103-10,0.24,0.25,0.28
616,2012/07/03,103-11,0.26,0.23,0.25
617,2012/07/05,103-12,0.35,0.31,0.34
618,2012/07/08,103-13,0.2,0.24,0.26
619,2012/07/10,103-14,0.18,0.2,0.22
620,2012/07/13,103-15,0.23,0.27,0.3
621,2012/06/07,104-1,0.26,0.22,0.26
622,2012/07/17,104-2,0.38,0.31,0.36
623,2012/06/12,104-3,0.48,0.42,0.48
624,2012/06/17,104-5,0.35,0.4,0.46
625,2012/06/22,104-6,0.1,0.1,0.12
626,2012/06/23,104-7,0.42,0.42,0.48
627,2012/06/25,104-8,0.28,0.34,0.39
628,2012/06/27,104-9,0.37,0.3,0.34
629,2012/07/05,104-12,0.27,0.31,0.36
630,2012/07/08,104-13,0.25,0.26,0.3
631,2012/07/10,104-14,0.18,0.19,0.22
632,2012/07/13,104-15,0.16,0.19,0.22
633,2012/07/17,105-2,0.26,0.27,0.32
634,2012/06/12,105-3,0.38,0.36,0.43
635,2012/06/17,105-5,0.4,0.39,0.48
636,2012/06/22,105-6,0.38,0.35,0.42
637,2012/06/23,105-7,0.39,0.36,0.44
638,2012/06/25,105-8,0.31,0.31,0.37
639,2012/06/27,105-9,0.29,0.25,0.3
640,2012/07/05,105-12,0.25,0.26,0.32
641,2012/07/08,105-13,0.18,0.19,0.23
642,2012/07/10,105-14,0.2,0.23,0.28
643,2012/07/13,105-15,0.16,0.19,0.23
644,2012/06/07,111-1,0.22,0.21,0.23
645,2012/06/09,111-2,0.24,0.26,0.29
646,2012/07/17,111-2,0.3,0.26,0.29
647,2012/06/12,111-3,0.43,0.39,0.44
648,2012/07/19,111-3,0.29,0.28,0.31
649,2012/06/15,111-4,0.29,0.34,0.37
650,2012/06/22,111-6,0.2,0.25,0.28
651,2012/06/23,111-7,0.34,0.37,0.41
652,2012/06/25,111-8,0.35,0.37,0.41
653,2012/06/27,111-9,0.3,0.26,0.29
654,2012/07/03,111-11,0.14,0.14,0.16
655,2012/07/05,111-12,0.28,0.34,0.38
656,2012/07/08,111-13,0.45,0.42,0.46
657,2012/07/10,111-14,0.22,0.23,0.26
658,2012/07/13,111-15,0.21,0.19,0.21
659,2012/07/14,111-16,0.18,0.15,0.17
660,2012/06/07,112-1,0.26,0.26,0.26
661,2012/07/17,112-2,0.36,0.36,0.36
662,2012/06/12,112-3,0.48,0.53,0.54
663,2012/07/19,112-3,0.43,0.42,0.42
664,2012/06/15,112-4,0.43,0.39,0.39
665,2012/06/17,112-5,0.52,0.47,0.47
666,2012/06/22,112-6,0.41,0.4,0.4
667,2012/06/23,112-7,0.33,0.3,0.3
668,2012/06/25,112-8,0.36,0.36,0.36
669,2012/06/27,112-9,0.27,0.26,0.26
670,2012/06/29,112-10,0.22,0.23,0.23
671,2012/07/03,112-11,0.31,0.27,0.27
672,2012/07/05,112-12,0.38,0.38,0.38
673,2012/07/08,112-13,0.28,0.29,0.29
674,2012/07/10,112-14,0.2,0.27,0.27
675,2012/07/13,112-15,0.21,0.25,0.25
676,2012/07/14,112-16,0.27,0.25,0.25
677,2012/06/07,113-1,0.34,0.31,0.32
678,2012/07/17,113-2,0.26,0.24,0.24
679,2012/06/12,113-3,0.49,0.49,0.5
680,2012/07/19,113-3,0.38,0.32,0.33
681,2012/06/15,113-4,0.35,0.38,0.4
682,2012/06/17,113-5,0.5,0.56,0.58
683,2012/06/23,113-7,0.33,0.37,0.38
684,2012/06/25,113-8,0.34,0.34,0.35
685,2012/06/27,113-9,0.05,0.05,0.05
686,2012/06/29,113-10,0.25,0.23,0.23
687,2012/07/03,113-11,0.2,0.19,0.2
688,2012/07/08,113-13,0.28,0.33,0.34
689,2012/07/10,113-14,0.28,0.24,0.25
690,2012/07/13,113-15,0.2,0.22,0.23
691,2012/07/14,113-16,0.12,0.15,0.15
692,2012/06/07,114-1,0.25,0.23,0.22
693,2012/07/17,114-2,0.29,0.32,0.29
694,2012/06/12,114-3,0.39,0.36,0.33
695,2012/06/15,114-4,0.25,0.27,0.24
696,2012/06/22,114-6,0.26,0.26,0.24
697,2012/06/23,114-7,0.27,0.24,0.22
698,2012/06/25,114-8,0.15,0.16,0.15
699,2012/06/27,114-9,0.12,0.13,0.12
700,2012/06/29,114-10,0.12,0.11,0.1
701,2012/07/03,114-11,0.13,0.12,0.11
702,2012/07/05,114-12,0.31,0.31,0.28
703,2012/07/08,114-13,0.21,0.23,0.21
704,2012/07/10,114-14,0.17,0.2,0.19
705,2012/07/14,114-16,0.19,0.18,0.17
706,2012/06/07,115-1,0.19,0.21,0.22
707,2012/07/17,115-2,0.35,0.3,0.33
708,2012/06/12,115-3,0.38,0.44,0.48
709,2012/06/15,115-4,0.31,0.33,0.35
710,2012/06/22,115-6,0.38,0.33,0.36
711,2012/06/23,115-7,0.38,0.33,0.36
712,2012/06/25,115-8,0.25,0.24,0.26
713,2012/06/27,115-9,0.24,0.24,0.22
714,2012/06/29,115-10,0.23,0.22,0.24
715,2012/07/03,115-11,0.15,0.17,0.18
716,2012/07/05,115-12,0.32,0.32,0.35
717,2012/07/08,115-13,0.19,0.23,0.25
718,2012/07/10,115-14,0.2,0.23,0.25
719,2012/07/13,115-15,0.29,0.24,0.25
720,2012/07/14,115-16,0.19,0.2,0.22
721,2012/06/07,121-1,0.18,0.21,0.22
722,2012/06/09,121-2,0.35,0.4,0.42
723,2012/07/17,121-2,0.49,0.43,0.44
724,2012/06/12,121-3,0.52,0.49,0.51
725,2012/06/15,121-4,0.49,0.48,0.5
726,2012/06/22,121-6,0.52,0.5,0.52
727,2012/06/23,121-7,0.46,0.46,0.48
728,2012/06/25,121-8,0.41,0.46,0.48
729,2012/06/27,121-9,0.21,0.21,0.21
730,2012/06/29,121-10,0.18,0.2,0.21
731,2012/07/03,121-11,0.2,0.19,0.2
732,2012/07/05,121-13,0.33,0.28,0.29
733,2012/07/08,121-13,0.26,0.24,0.25
734,2012/07/10,121-14,0.41,0.35,0.36
735,2012/07/13,121-15,0.22,0.29,0.3
736,2012/07/14,121-16,0.24,0.24,0.25
737,2012/06/07,122-1,0.21,0.2,0.22
738,2012/07/17,122-2,0.3,0.35,0.39
739,2012/06/12,122-3,0.34,0.47,0.52
740,2012/06/15,122-4,0.37,0.36,0.4
741,2012/06/17,122-5,0.38,0.34,0.38
742,2012/06/22,122-6,0.45,0.39,0.44
743,2012/06/23,122-7,0.38,0.39,0.43
744,2012/06/25,122-8,0.21,0.26,0.29
745,2012/06/27,122-9,0.19,0.21,0.23
746,2012/07/03,122-11,0.3,0.22,0.25
747,2012/07/05,122-13,0.38,0.33,0.37
748,2012/07/08,122-13,0.37,0.32,0.36
749,2012/07/10,122-14,0.25,0.28,0.31
750,2012/07/13,122-15,0.27,0.33,0.37
751,2012/07/14,122-16,0.26,0.27,0.3
752,2012/06/07,123-1,0.09,0.12,0.12
753,2012/07/17,123-2,0.21,0.24,0.26
754,2012/06/12,123-3,0.3,0.41,0.43
755,2012/06/15,123-4,0.3,0.31,0.32
756,2012/06/17,123-5,0.51,0.46,0.48
757,2012/06/22,123-6,0.41,0.4,0.43
758,2012/06/23,123-7,0.31,0.27,0.29
759,2012/06/25,123-8,0.32,0.29,0.31
760,2012/06/27,123-9,0.26,0.25,0.26
761,2012/07/03,123-11,0.17,0.17,0.18
762,2012/07/05,123-13,0.38,0.33,0.34
763,2012/07/08,123-13,0.33,0.31,0.32
764,2012/07/10,123-14,0.25,0.24,0.25
765,2012/07/13,123-15,0.14,0.15,0.16
766,2012/07/14,123-16,0.12,0.12,0.13
767,2012/06/07,124-1,0.13,0.15,0.14
768,2012/07/17,124-2,0.35,0.32,0.3
769,2012/06/12,124-3,0.4,0.38,0.36
770,2012/06/15,124-4,0.27,0.32,0.31
771,2012/06/17,124-5,0.39,0.42,0.4
772,2012/06/23,124-7,0.32,0.29,0.28
773,2012/06/25,124-8,0.31,0.29,0.28
774,2012/06/27,124-9,0.35,0.31,0.3
775,2012/06/29,124-10,0.26,0.33,0.32
776,2012/07/03,124-11,0.17,0.17,0.16
777,2012/07/05,124-13,0.35,0.3,0.28
778,2012/07/08,124-13,0.48,0.4,0.39
779,2012/07/10,124-14,0.35,0.36,0.35
780,2012/07/14,124-16,0.22,0.28,0.26
781,2012/06/07,125-1,0.13,0.14,0.13
782,2012/07/17,125-2,0.34,0.36,0.34
783,2012/06/12,125-3,0.36,0.38,0.36
784,2012/07/19,125-3,0.28,0.31,0.29
785,2012/06/15,125-4,0.32,0.31,0.29
786,2012/06/17,125-5,0.41,0.39,0.37
787,2012/06/23,125-7,0.4,0.31,0.29
788,2012/06/25,125-8,0.19,0.19,0.18
789,2012/06/27,125-9,0.2,0.21,0.2
790,2012/06/29,125-10,0.21,0.23,0.21
791,2012/07/03,125-11,0.22,0.23,0.21
792,2012/07/08,125-13,0.29,0.27,0.26
