OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
126,2012/07/14,31-16,0.38,0.39,0.41
127,2012/06/07,32-1,0.23,0.26,0.25
128,2012/07/17,32-2,0.53,0.42,0.4
129,2012/07/19,32-3,0.39,0.43,0.41
130,2012/06/15,32-4,0.41,0.42,0.4
131,2012/06/17,32-5,0.49,0.52,0.5
132,2012/06/22,32-6,0.5,0.49,0.47
133,2012/06/23,32-7,0.45,0.51,0.48
134,2012/06/25,32-8,0.41,0.46,0.44
135,2012/07/05,32-12,0.19,0.22,0.21
136,2012/07/08,32-13,0.2,0.22,0.21
137,2012/07/10,32-14,0.05,0.04,0.04
138,2012/07/13,32-15,0.46,0.42,0.4
139,2012/07/14,32-16,0.45,0.4,0.38
140,2012/06/07,33-1,0.22,0.26,0.26
141,2012/07/17,33-2,0.42,0.34,0.33
142,2012/06/12,33-3,0.46,0.47,0.46
143,2012/06/15,33-4,0.41,0.41,0.41
144,2012/06/25,33-8,0.4,0.42,0.41
145,2012/06/27,33-9,0.16,0.19,0.18
146,2012/06/29,33-10,0.21,0.22,0.21
147,2012/07/03,33-11,0.21,0.2,0.2
148,2012/07/05,33-12,0.2,0.21,0.21
149,2012/07/08,33-13,0.18,0.18,0.17
150,2012/07/10,33-14,0.29,0.33,0.32
151,2012/07/13,33-15,0.2,0.25,0.24
152,2012/07/14,33-16,0.09,0.08,0.08
153,2012/06/22,33-6A,0.45,0.41,0.4
154,2012/06/22,33-6B,0.35,0.31,0.31
155,2012/06/07,34-1,0.17,0.19,0.19
156,2012/06/12,34-3,0.44,0.42,0.42
157,2012/06/25,34-8,0.38,0.37,0.37
158,2012/06/27,34-9,0.31,0.34,0.34
159,2012/06/29,34-10,0.26,0.24,0.24
160,2012/07/03,34-11,0.16,0.15,0.15
161,2012/07/05,34-12,0.25,0.26,0.26
162,2012/07/08,34-13,0.19,0.18,0.18
163,2012/07/10,34-14,0.2,0.17,0.17
164,2012/07/13,34-15,0.22,0.27,0.27
165,2012/07/14,34-16,0.32,0.34,0.34
166,2012/06/22,34-6A,0.45,0.46,0.46
167,2012/06/22,34-6B,0.4,0.41,0.41
168,2012/06/07,41-1,0.21,0.27,0.29
169,2012/06/09,41-2,0.4,0.36,0.4
170,2012/06/12,41-3,0.5,0.44,0.48
171,2012/07/19,41-3,0.29,0.32,0.35
172,2012/06/15,41-4,0.33,0.47,0.52
173,2012/06/17,41-5,0.48,0.45,0.49
174,2012/06/22,41-6,0.51,0.46,0.5
175,2012/06/23,41-7,0.45,0.41,0.44
176,2012/06/25,41-8,0.37,0.37,0.41
177,2012/06/27,41-9,0.54,0.45,0.49
178,2012/07/05,41-12,0.24,0.3,0.33
179,2012/07/08,41-13,0.18,0.18,0.2
180,2012/07/10,41-14,0.26,0.23,0.25
181,2012/07/13,41-15,0.35,0.35,0.38
182,2012/07/14,41-16,0.31,0.31,0.33
183,2012/06/07,42-1,0.31,0.33,0.36
184,2012/06/12,42-3,0.55,0.47,0.52
185,2012/07/19,42-3,0.35,0.37,0.4
186,2012/06/17,42-5,0.47,0.47,0.52
187,2012/06/22,42-6,0.52,0.44,0.48
188,2012/06/23,42-7,0.54,0.45,0.5
189,2012/06/25,42-8,0.45,0.41,0.45
190,2012/07/05,42-12,0.26,0.33,0.36
191,2012/07/08,42-13,0.16,0.2,0.22
192,2012/07/10,42-14,0.15,0.17,0.18
193,2012/07/13,42-15,0.26,0.31,0.34
194,2012/07/14,42-16,0.27,0.27,0.29
195,2012/06/07,43-1,0.19,0.21,0.25
196,2012/06/12,43-3,0.5,0.41,0.47
197,2012/06/15,43-4,0.39,0.36,0.42
198,2012/06/17,43-5,0.46,0.42,0.48
199,2012/06/22,43-6,0.45,0.37,0.42
200,2012/06/23,43-7,0.46,0.39,0.45
201,2012/06/25,43-8,0.32,0.29,0.34
202,2012/06/27,43-9,0.24,0.25,0.29
203,2012/07/05,43-12,0.16,0.21,0.24
204,2012/07/08,43-13,0.18,0.21,0.24
205,2012/07/10,43-14,0.15,0.17,0.2
206,2012/07/13,43-15,0.26,0.32,0.37
207,2012/07/14,43-16,0.23,0.24,0.28
208,2012/06/07,44-1,0.24,0.28,0.29
209,2012/06/12,44-3,0.47,0.45,0.47
210,2012/06/15,44-4,0.34,0.42,0.43
211,2012/06/22,44-6,0.51,0.43,0.44
212,2012/06/23,44-7,0.37,0.34,0.35
213,2012/06/25,44-8,0.36,0.38,0.39
214,2012/06/27,44-9,0.27,0.24,0.24
215,2012/07/05,44-12,0.27,0.29,0.29
216,2012/07/08,44-13,0.31,0.28,0.29
217,2012/07/10,44-14,0.3,0.25,0.26
218,2012/07/13,44-15,0.25,0.28,0.29
219,2012/07/14,44-16,0.23,0.28,0.29
220,2012/06/07,45-1,0.19,0.2,0.22
221,2012/06/12,45-3,0.41,0.42,0.45
222,2012/06/15,45-4,0.4,0.38,0.41
223,2012/06/22,45-5,0.46,0.48,0.52
